Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,1.212415,1.214919,1.210287,1.212224,1.212224,0
2021-06-16,1.212547,1.213499,1.211035,1.212709,1.212709,0
2021-06-17,1.199185,1.200769,1.190703,1.199559,1.199559,0
2021-06-18,1.191327,1.192748,1.185115,1.191341,1.191341,0
2021-06-21,1.186901,1.192051,1.184876,1.187366,1.187366,0
2021-06-22,1.191157,1.191753,1.188241,1.191256,1.191256,0
2021-06-23,1.193745,1.197000,1.191583,1.193673,1.193673,0
2021-06-24,1.193161,1.195672,1.191995,1.193317,1.193317,0
2021-06-25,1.192791,1.197447,1.192791,1.193033,1.193033,0
2021-06-28,1.194215,1.194600,1.190462,1.194215,1.194215,0
2021-06-29,1.193033,1.193033,1.188044,1.192890,1.192890,0
2021-06-30,1.189994,1.191043,1.184582,1.190193,1.190193,0
2021-07-01,1.185536,1.188399,1.183810,1.185677,1.185677,0
2021-07-02,1.184708,1.186099,1.181935,1.184624,1.184624,0
2021-07-05,1.185593,1.188200,1.185201,1.185621,1.185621,0
2021-07-06,1.186150,1.189626,1.181500,1.186380,1.186380,0
2021-07-07,1.182033,1.184133,1.178245,1.182452,1.182452,0
2021-07-08,1.179357,1.186634,1.178425,1.179340,1.179340,0
2021-07-09,1.184694,1.187465,1.182522,1.184800,1.184800,0
2021-07-12,1.187366,1.188213,1.183670,1.187296,1.187296,0
2021-07-13,1.186493,1.187790,1.179343,1.186521,1.186521,0
2021-07-14,1.177440,1.182801,1.177260,1.177537,1.177537,0
2021-07-15,1.183334,1.185115,1.180596,1.183334,1.183334,0
2021-07-16,1.181307,1.182300,1.179400,1.181181,1.181181,0
2021-07-19,1.181154,1.182327,1.176429,1.181401,1.181401,0
2021-07-20,1.179245,1.180401,1.175710,1.179384,1.179384,0
2021-07-21,1.178550,1.180275,1.175364,1.178411,1.178411,0
2021-07-22,1.179523,1.182984,1.176664,1.179273,1.179273,0
2021-07-23,1.177357,1.178550,1.175599,1.177274,1.177274,0
2021-07-26,1.177302,1.181754,1.176457,1.177343,1.177343,0
2021-07-27,1.180638,1.183712,1.177177,1.180777,1.180777,0
2021-07-28,1.182240,1.183012,1.178578,1.182313,1.182313,0
2021-07-29,1.184680,1.189202,1.184175,1.184596,1.184596,0
2021-07-30,1.189202,1.191100,1.185550,1.189300,1.189300,0
2021-08-02,1.186535,1.189900,1.185958,1.186704,1.186704,0
2021-08-03,1.187493,1.189600,1.185565,1.187465,1.187465,0
2021-08-04,1.186915,1.190200,1.183432,1.186944,1.186944,0
2021-08-05,1.183992,1.185901,1.182984,1.183740,1.183740,0
2021-08-06,1.183320,1.183572,1.175641,1.183572,1.183572,0
2021-08-09,1.175088,1.177163,1.174178,1.174950,1.174950,0
2021-08-10,1.173900,1.174399,1.171070,1.173847,1.173847,0
2021-08-11,1.171976,1.174688,1.170645,1.172333,1.172333,0
2021-08-12,1.174205,1.175101,1.172512,1.174190,1.174190,0
2021-08-13,1.173612,1.180300,1.173103,1.173626,1.173626,0
2021-08-16,1.179635,1.180359,1.176803,1.179468,1.179468,0
2021-08-17,1.177995,1.178411,1.171056,1.177995,1.177995,0
2021-08-18,1.170960,1.173100,1.169686,1.170974,1.170974,0
2021-08-19,1.170385,1.170686,1.166875,1.170330,1.170330,0
2021-08-20,1.167679,1.169100,1.166494,1.167660,1.167660,0
2021-08-23,1.169974,1.174329,1.169561,1.169755,1.169755,0
2021-08-24,1.174674,1.176484,1.172814,1.174453,1.174453,0
2021-08-25,1.175503,1.176055,1.172855,1.175309,1.175309,0
2021-08-26,1.177300,1.178134,1.174784,1.177440,1.177440,0
2021-08-27,1.175295,1.180359,1.173599,1.175641,1.175641,0
2021-08-30,1.179997,1.181195,1.178453,1.179901,1.179901,0
2021-08-31,1.179941,1.184553,1.179649,1.179690,1.179690,0
2021-09-01,1.181195,1.186000,1.179510,1.181028,1.181028,0
2021-09-02,1.184231,1.187225,1.183480,1.184091,1.184091,0
2021-09-03,1.187423,1.190760,1.186817,1.187648,1.187648,0
2021-09-06,1.188594,1.188637,1.185705,1.188594,1.188594,0
2021-09-07,1.187395,1.188778,1.183830,1.187507,1.187507,0
2021-09-08,1.184553,1.185400,1.180317,1.184357,1.184357,0
2021-09-09,1.182033,1.184133,1.180610,1.181910,1.181910,0
2021-09-10,1.182355,1.185300,1.181935,1.182592,1.182592,0
2021-09-13,1.181251,1.181754,1.177060,1.181195,1.181195,0
2021-09-14,1.181070,1.184699,1.180200,1.181195,1.181195,0
2021-09-15,1.180359,1.183300,1.180100,1.180498,1.180498,0
2021-09-16,1.181935,1.182313,1.175171,1.182000,1.182000,0
2021-09-17,1.176484,1.178967,1.172966,1.176747,1.176747,0
2021-09-20,1.172883,1.173709,1.170056,1.172993,1.172993,0
2021-09-21,1.172567,1.174895,1.171591,1.173020,1.173020,0
2021-09-22,1.172608,1.174453,1.171715,1.172292,1.172292,0
2021-09-23,1.168893,1.175101,1.168419,1.168770,1.168770,0
2021-09-24,1.174178,1.174812,1.170166,1.174026,1.174026,0
2021-09-27,1.172209,1.172800,1.168661,1.172305,1.172305,0
2021-09-28,1.169604,1.170600,1.166997,1.169680,1.169680,0
2021-09-29,1.168688,1.169200,1.161009,1.168634,1.168634,0
2021-09-30,1.160227,1.161170,1.157006,1.160160,1.160160,0
2021-10-01,1.157421,1.160900,1.156390,1.157448,1.157448,0
2021-10-04,1.160726,1.164009,1.158856,1.160726,1.160726,0
2021-10-05,1.161656,1.162250,1.158306,1.161845,1.161845,0
2021-10-06,1.159514,1.159958,1.153017,1.159608,1.159608,0
2021-10-07,1.155535,1.157140,1.154935,1.155535,1.155535,0
2021-10-08,1.155922,1.158373,1.154255,1.155976,1.155976,0
2021-10-11,1.156591,1.158749,1.155295,1.156604,1.156604,0
2021-10-12,1.155295,1.157006,1.153389,1.155375,1.155375,0
2021-10-13,1.153097,1.157901,1.153057,1.153403,1.153403,0
2021-10-14,1.159958,1.162500,1.158467,1.159958,1.159958,0
2021-10-15,1.159071,1.161980,1.158883,1.159152,1.159152,0
2021-10-18,1.159595,1.161211,1.157300,1.159703,1.159703,0
2021-10-19,1.161454,1.167000,1.161454,1.161386,1.161386,0
2021-10-20,1.163386,1.165401,1.161805,1.163196,1.163196,0
2021-10-21,1.165243,1.166997,1.163318,1.165501,1.165501,0
2021-10-22,1.162588,1.165406,1.162237,1.162534,1.162534,0
2021-10-25,1.164131,1.166861,1.159326,1.164009,1.164009,0
2021-10-26,1.161170,1.162900,1.158587,1.161170,1.161170,0
2021-10-27,1.159824,1.162439,1.158534,1.159824,1.159824,0
2021-10-28,1.159891,1.169317,1.158319,1.160012,1.160012,0
2021-10-29,1.168374,1.169180,1.154668,1.168361,1.168361,0
2021-11-01,1.155936,1.159326,1.154668,1.155668,1.155668,0
2021-11-02,1.160174,1.161500,1.157917,1.159958,1.159958,0
2021-11-03,1.158078,1.159900,1.156363,1.157943,1.157943,0
2021-11-04,1.161575,1.161710,1.152924,1.161575,1.161575,0
2021-11-05,1.155668,1.156470,1.151410,1.155535,1.155535,0
2021-11-08,1.156845,1.159555,1.155175,1.156885,1.156885,0
2021-11-09,1.158869,1.160901,1.157019,1.159152,1.159152,0
2021-11-10,1.159366,1.159824,1.151344,1.159555,1.159555,0
2021-11-11,1.148567,1.149161,1.145489,1.148594,1.148594,0
2021-11-12,1.144780,1.145987,1.143406,1.145082,1.145082,0
2021-11-15,1.144230,1.146421,1.141696,1.144165,1.144165,0
2021-11-16,1.136738,1.138701,1.133067,1.136648,1.136648,0
2021-11-17,1.131618,1.133400,1.127053,1.132118,1.132118,0
2021-11-18,1.131811,1.135976,1.131503,1.132118,1.132118,0
2021-11-19,1.137010,1.137010,1.125239,1.136842,1.136842,0
2021-11-22,1.127574,1.129050,1.123823,1.127574,1.127574,0
2021-11-23,1.124354,1.127345,1.122712,1.124215,1.124215,0
2021-11-24,1.124391,1.125454,1.118781,1.124493,1.124493,0
2021-11-25,1.120699,1.123091,1.120398,1.120298,1.120298,0
2021-11-26,1.120900,1.132200,1.120800,1.120963,1.120963,0
2021-11-29,1.129114,1.129801,1.125885,1.129318,1.129318,0
2021-11-30,1.129357,1.138174,1.124606,1.129344,1.129344,0
2021-12-01,1.133003,1.135847,1.130416,1.133029,1.133029,0
2021-12-02,1.131964,1.134816,1.130186,1.131952,1.131952,0
2021-12-03,1.130684,1.133183,1.126735,1.130621,1.130621,0
2021-12-06,1.130263,1.131000,1.126900,1.130480,1.130480,0
2021-12-07,1.128452,1.129943,1.123129,1.128668,1.128668,0
2021-12-08,1.127307,1.133903,1.126964,1.127650,1.127650,0
2021-12-09,1.134404,1.134559,1.127943,1.134559,1.134559,0
2021-12-10,1.129408,1.132259,1.126735,1.129331,1.129331,0
2021-12-13,1.131119,1.131606,1.126354,1.131183,1.131183,0
2021-12-14,1.128337,1.132759,1.126659,1.128541,1.128541,0
2021-12-15,1.125873,1.127800,1.124923,1.126126,1.126126,0
2021-12-16,1.129305,1.136364,1.128210,1.129076,1.129076,0
2021-12-17,1.133543,1.134906,1.126837,1.133414,1.133414,0
2021-12-20,1.124252,1.130454,1.123734,1.124354,1.124354,0
2021-12-21,1.127675,1.130327,1.126177,1.127752,1.127752,0
2021-12-22,1.129050,1.134200,1.126532,1.128757,1.128757,0
2021-12-23,1.133016,1.134559,1.129152,1.132888,1.132888,0
2021-12-24,1.132464,1.134430,1.130838,1.132734,1.132734,0
2021-12-27,1.132387,1.133500,1.130416,1.132426,1.132426,0
2021-12-28,1.132978,1.133600,1.129038,1.133003,1.133003,0
2021-12-29,1.131337,1.137001,1.127536,1.131478,1.131478,0
2021-12-30,1.135976,1.135976,1.130071,1.136015,1.136015,0
2021-12-31,1.132323,1.137915,1.130506,1.132503,1.132503,0
2022-01-03,1.137385,1.137592,1.128541,1.137346,1.137346,0
2022-01-04,1.130199,1.132300,1.127345,1.130224,1.130224,0
2022-01-05,1.128541,1.134559,1.127764,1.128363,1.128363,0
2022-01-06,1.131222,1.133067,1.128554,1.131350,1.131350,0
2022-01-07,1.129586,1.135976,1.129050,1.129688,1.129688,0
2022-01-10,1.135344,1.135976,1.128834,1.135396,1.135396,0
2022-01-11,1.133273,1.136900,1.131554,1.133042,1.133042,0
2022-01-12,1.137010,1.143300,1.135576,1.136648,1.136648,0
2022-01-13,1.143981,1.147908,1.143641,1.144165,1.144165,0
2022-01-14,1.145659,1.148369,1.141005,1.145712,1.145712,0
2022-01-17,1.141214,1.143458,1.139315,1.141070,1.141070,0
2022-01-18,1.141292,1.142335,1.132965,1.141057,1.141057,0
2022-01-19,1.133003,1.135680,1.131952,1.132965,1.132965,0
2022-01-20,1.134353,1.136893,1.133016,1.134340,1.134340,0
2022-01-21,1.131542,1.136105,1.130224,1.131375,1.131375,0
2022-01-24,1.134095,1.134095,1.129140,1.134147,1.134147,0
2022-01-25,1.132387,1.132503,1.126684,1.132413,1.132413,0
2022-01-26,1.130352,1.131350,1.127205,1.130454,1.130454,0
2022-01-27,1.124227,1.124480,1.113350,1.124354,1.124354,0
2022-01-28,1.114616,1.117006,1.112335,1.114703,1.114703,0
2022-01-31,1.115138,1.121692,1.114504,1.115237,1.115237,0
2022-02-01,1.122914,1.127904,1.122208,1.122965,1.122965,0
2022-02-02,1.127307,1.132939,1.126697,1.127396,1.127396,0
2022-02-03,1.129995,1.145069,1.127205,1.129995,1.129995,0
2022-02-04,1.143511,1.148369,1.141344,1.143576,1.143576,0
2022-02-07,1.145462,1.146000,1.141670,1.145515,1.145515,0
2022-02-08,1.144086,1.145082,1.139705,1.144296,1.144296,0
2022-02-09,1.142113,1.144700,1.140329,1.142126,1.142126,0
2022-02-10,1.142126,1.149425,1.138084,1.142152,1.142152,0
2022-02-11,1.141175,1.141901,1.137126,1.141553,1.141553,0
2022-02-14,1.136583,1.136893,1.129280,1.136506,1.136506,0
2022-02-15,1.130608,1.136880,1.130582,1.130633,1.130633,0
2022-02-16,1.135564,1.139315,1.134546,1.135680,1.135680,0
2022-02-17,1.137333,1.138693,1.132759,1.137527,1.137527,0
2022-02-18,1.136389,1.137669,1.131580,1.136648,1.136648,0
2022-02-21,1.131734,1.138563,1.131414,1.131721,1.131721,0
2022-02-22,1.130966,1.136377,1.128910,1.130966,1.130966,0
2022-02-23,1.133055,1.135976,1.130736,1.132913,1.132913,0
2022-02-24,1.130595,1.130595,1.111049,1.130569,1.130569,0
2022-02-25,1.119081,1.126608,1.116807,1.119069,1.119069,0
2022-02-28,1.118105,1.124455,1.114318,1.118105,1.118105,0
2022-03-01,1.121466,1.123217,1.110211,1.121592,1.121592,0
2022-03-02,1.113102,1.114194,1.105852,1.113276,1.113276,0
2022-03-03,1.111358,1.111605,1.103984,1.111235,1.111235,0
2022-03-04,1.106929,1.106929,1.089004,1.106684,1.106684,0
2022-03-07,1.087394,1.093075,1.080859,1.087453,1.087453,0
2022-03-08,1.086957,1.092216,1.085117,1.086531,1.086531,0
2022-03-09,1.090085,1.109115,1.089788,1.089823,1.089823,0
2022-03-10,1.107334,1.111617,1.098213,1.107383,1.107383,0
2022-03-11,1.101212,1.104192,1.093470,1.101394,1.101394,0
2022-03-14,1.093255,1.098696,1.090251,1.093207,1.093207,0
2022-03-15,1.094535,1.101831,1.093948,1.094319,1.094319,0
2022-03-16,1.096732,1.103875,1.095578,1.096936,1.096936,0
2022-03-17,1.102244,1.111049,1.102123,1.102196,1.102196,0
2022-03-18,1.109890,1.111791,1.100534,1.109952,1.109952,0
2022-03-21,1.104216,1.106672,1.102609,1.104313,1.104313,0
2022-03-22,1.101637,1.104570,1.096155,1.101722,1.101722,0
2022-03-23,1.103010,1.104200,1.096575,1.102974,1.102974,0
2022-03-24,1.100631,1.101334,1.096996,1.100631,1.100631,0
2022-03-25,1.100897,1.103875,1.098298,1.100958,1.100958,0
2022-03-28,1.098189,1.099674,1.094535,1.098189,1.098189,0
2022-03-29,1.099022,1.100352,1.098780,1.099384,1.099384,0
